id_item,id_pedido,id_produto,quantidade,valor_unitario,valor_total_item
298,151,23,2,4216.26,8432.52
299,45,21,1,2563.02,2563.02
300,33,17,1,602.18,602.18
301,135,48,4,85.59,342.36
302,122,8,1,806.56,806.56
303,132,29,3,603.75,1811.25
304,116,38,1,4368.54,4368.54
305,158,33,2,473.98,947.96
306,78,3,5,2170.75,10853.75
307,16,30,1,4399.67,4399.67
308,110,31,4,1235.29,4941.16
309,126,44,1,2284.86,2284.86
310,19,46,4,154.12,616.48
311,156,6,3,2572.16,7716.48
312,33,10,1,3002.22,3002.22
313,163,18,5,832.88,4164.4
314,183,38,5,4368.54,21842.7
315,153,21,4,2563.02,10252.08
316,117,34,3,4089.32,12267.96
317,111,33,5,473.98,2369.9
318,168,7,1,3791.12,3791.12
319,185,42,5,4975.99,24879.95
320,116,14,4,3417.4,13669.6
321,87,15,4,3424.47,13697.88
322,107,30,4,4399.67,17598.68
323,81,47,1,1189.07,1189.07
324,171,28,3,1654.57,4963.71
325,40,17,3,602.18,1806.54
326,18,44,4,2284.86,9139.44
327,24,6,1,2572.16,2572.16
328,191,28,1,1654.57,1654.57
329,34,48,3,85.59,256.77
330,151,36,1,3315.77,3315.77
331,85,36,5,3315.77,16578.85
332,106,43,1,2218.6,2218.6
333,185,23,4,4216.26,16865.04
334,154,4,3,2027.03,6081.09
335,27,20,3,4860.85,14582.55
336,55,37,5,867.38,4336.9
337,58,10,4,3002.22,12008.88
338,143,7,3,3791.12,11373.36
339,196,24,1,3064.4,3064.4
340,58,18,5,832.88,4164.4
341,197,28,5,1654.57,8272.85
342,173,40,5,3788.56,18942.8
343,7,42,5,4975.99,24879.95
344,8,39,3,4823.6,14470.8
345,180,12,3,2669.12,8007.36
346,87,49,3,1183.26,3549.78
347,47,23,1,4216.26,4216.26
348,169,10,5,3002.22,15011.1
349,37,26,1,2719.93,2719.93
350,24,48,1,85.59,85.59
351,56,48,5,85.59,427.95
352,117,25,4,1900.87,7603.48
353,95,22,2,4359.07,8718.14
354,199,20,3,4860.85,14582.55
355,22,37,5,867.38,4336.9
356,41,4,2,2027.03,4054.06
357,13,49,5,1183.26,5916.3
358,70,44,1,2284.86,2284.86
359,125,29,4,603.75,2415.0
360,107,39,4,4823.6,19294.4
361,194,18,2,832.88,1665.76
362,89,33,1,473.98,473.98
363,73,28,1,1654.57,1654.57
364,125,44,5,2284.86,11424.3
365,12,34,3,4089.32,12267.96
366,154,15,4,3424.47,13697.88
367,53,4,1,2027.03,2027.03
368,197,20,2,4860.85,9721.7
369,75,9,3,3970.79,11912.37
370,2,21,1,2563.02,2563.02
371,45,32,4,4396.15,17584.6
372,137,9,4,3970.79,15883.16
373,129,46,2,154.12,308.24
374,19,36,3,3315.77,9947.31
375,112,26,1,2719.93,2719.93
376,20,2,4,1350.57,5402.28
377,110,21,5,2563.02,12815.1
378,182,37,4,867.38,3469.52
379,75,41,4,3579.1,14316.4
380,6,8,4,806.56,3226.24
381,159,21,2,2563.02,5126.04
382,23,30,3,4399.67,13199.01
383,63,28,1,1654.57,1654.57
384,103,28,5,1654.57,8272.85
385,102,34,1,4089.32,4089.32
386,57,20,3,4860.85,14582.55
387,20,22,2,4359.07,8718.14
388,136,33,1,473.98,473.98
389,199,33,2,473.98,947.96
390,187,23,3,4216.26,12648.78
391,61,42,2,4975.99,9951.98
392,66,7,2,3791.12,7582.24
393,155,13,2,4310.86,8621.72
394,46,10,1,3002.22,3002.22
395,119,50,4,4305.2,17220.8
396,195,49,5,1183.26,5916.3
397,175,38,4,4368.54,17474.16
398,83,37,5,867.38,4336.9
399,39,41,3,3579.1,10737.3
400,121,29,1,603.75,603.75
401,71,29,3,603.75,1811.25
402,91,38,1,4368.54,4368.54
403,80,33,1,473.98,473.98
404,10,30,4,4399.67,17598.68
405,74,4,3,2027.03,6081.09
406,158,5,1,4986.76,4986.76
407,99,39,5,4823.6,24118.0
408,142,30,5,4399.67,21998.35
409,116,48,1,85.59,85.59
410,83,37,2,867.38,1734.76
411,129,39,4,4823.6,19294.4
412,116,10,1,3002.22,3002.22
413,183,7,3,3791.12,11373.36
414,166,6,5,2572.16,12860.8
415,64,12,1,2669.12,2669.12
416,113,46,4,154.12,616.48
417,157,34,5,4089.32,20446.6
418,96,11,3,1939.02,5817.06
419,105,19,4,4771.39,19085.56
420,174,50,3,4305.2,12915.6
421,162,39,1,4823.6,4823.6
422,17,42,3,4975.99,14927.97
423,143,22,1,4359.07,4359.07
424,73,44,4,2284.86,9139.44
425,39,17,5,602.18,3010.9
426,150,22,1,4359.07,4359.07
427,90,43,2,2218.6,4437.2
428,34,20,4,4860.85,19443.4
429,80,39,1,4823.6,4823.6
430,165,36,4,3315.77,13263.08
431,172,22,2,4359.07,8718.14
432,24,45,5,1162.25,5811.25
433,131,42,4,4975.99,19903.96
434,93,24,1,3064.4,3064.4
435,55,20,2,4860.85,9721.7
436,50,22,4,4359.07,17436.28
437,40,15,2,3424.47,6848.94
438,26,5,3,4986.76,14960.28
439,190,33,5,473.98,2369.9
440,170,34,1,4089.32,4089.32
441,34,22,5,4359.07,21795.35
442,40,39,4,4823.6,19294.4
443,178,11,2,1939.02,3878.04
444,43,50,5,4305.2,21526.0
445,12,47,4,1189.07,4756.28
446,174,27,3,4596.54,13789.62
447,114,47,2,1189.07,2378.14
448,193,40,3,3788.56,11365.68
449,60,48,4,85.59,342.36
450,80,35,2,3840.88,7681.76
451,95,31,2,1235.29,2470.58
452,113,44,5,2284.86,11424.3
453,200,30,3,4399.67,13199.01
454,136,25,5,1900.87,9504.35
455,52,27,2,4596.54,9193.08
456,65,39,2,4823.6,9647.2
457,96,4,4,2027.03,8108.12
458,183,36,1,3315.77,3315.77
459,73,34,1,4089.32,4089.32
460,70,6,2,2572.16,5144.32
461,38,29,5,603.75,3018.75
462,57,28,1,1654.57,1654.57
463,7,29,3,603.75,1811.25
464,102,27,1,4596.54,4596.54
465,61,33,3,473.98,1421.94
466,96,25,1,1900.87,1900.87
467,82,15,1,3424.47,3424.47
468,38,7,3,3791.12,11373.36
469,74,9,1,3970.79,3970.79
470,195,31,2,1235.29,2470.58
471,115,46,4,154.12,616.48
472,21,40,1,3788.56,3788.56
473,56,2,3,1350.57,4051.71
474,187,10,5,3002.22,15011.1
475,109,39,5,4823.6,24118.0
476,61,8,3,806.56,2419.68
477,13,20,1,4860.85,4860.85
478,164,16,4,3766.85,15067.4
479,17,40,4,3788.56,15154.24
480,153,8,4,806.56,3226.24
481,162,35,1,3840.88,3840.88
482,62,33,5,473.98,2369.9
483,75,46,2,154.12,308.24
484,158,28,1,1654.57,1654.57
485,147,23,2,4216.26,8432.52
486,171,27,2,4596.54,9193.08
487,135,43,1,2218.6,2218.6
488,135,24,1,3064.4,3064.4
489,130,35,5,3840.88,19204.4
490,100,36,1,3315.77,3315.77
491,163,31,1,1235.29,1235.29
492,65,25,3,1900.87,5702.61
493,92,48,1,85.59,85.59
494,62,5,3,4986.76,14960.28
495,198,47,1,1189.07,1189.07
496,35,38,3,4368.54,13105.62
497,140,3,3,2170.75,6512.25
498,200,22,2,4359.07,8718.14
499,179,44,4,2284.86,9139.44
500,35,31,2,1235.29,2470.58
